path,status,resolution,required_proof
apps/desktop/e2e/tile-unread-bug.spec.ts,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
apps/desktop/src/app/chat/sidebar/session-row-state.test.ts,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
cli-config.yaml.example,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
cli.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
docs/design/profile-builder.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
docs/plans/2026-06-09-003-fix-telegram-stream-overflow-continuations-plan.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/kanban_watchers.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/lifecycle_ledger.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/platforms/base.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/run.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/shutdown_watchdog.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/slash_commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
gateway/status.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/auth.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/auth_commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/bundles.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/config.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/config_defaults.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/curator.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/dep_ensure.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/doctor.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/gateway.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/gateway_windows.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/kanban.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/kanban_db.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/main.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/mcp_config.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/plugins.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/profiles.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/runtime_provider.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/service_manager.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/skills_hub.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/status.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/subcommands/profile.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/tools_config.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/uninstall.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/update_cmd.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/web_routers/profiles.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_cli/web_server.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_constants.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
hermes_state.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
model_tools.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
plugins/dashboard_auth/basic/__init__.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
plugins/dashboard_auth/nous/__init__.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
plugins/dashboard_auth/self_hosted/__init__.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
plugins/memory/__init__.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
plugins/platforms/feishu/adapter.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
pyproject.toml,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
run_agent.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
scripts/check_subprocess_stdin.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
scripts/install.ps1,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
scripts/run_tests_parallel.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/conftest.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_anthropic_adapter.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_anthropic_keychain.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_api_call_ttfb.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_codex_app_server_persist.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_credential_pool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_credential_pool_routing.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_nous_oauth_401_guidance.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_prompt_builder.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_request_assembled_marker.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_shell_hooks.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_skill_commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_skill_utils.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_system_prompt.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/test_turn_finalizer_final_response_persistence.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/agent/transports/test_codex_transport.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/cli/test_surrogate_sanitization.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/conftest.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/conftest.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_background_process_notifications.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_completion_delivery.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_config_env_bridge_authority.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_feishu.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_platform_base.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/gateway/test_update_command.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/conftest.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_auth_noninteractive.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_commands.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_config.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_config_read_guard.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_curator_recent_run_notice.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_dashboard_unified_launch.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_doctor.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_env_loader.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_gateway.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_harness_providers.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_kanban_boards.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_kanban_db.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_managed_uv.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_mcp_startup.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_nous_inference_url_validation.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_plugins_cmd.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_setup_blank_slate.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/hermes_cli/test_update_stale_dashboard.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/plugins/platforms/photon/test_sidecar_paths.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/scripts/test_run_tests_parallel.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/test_hermes_constants.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/test_hermes_state.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_approval.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_browser_content_none_guard.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_execute_code_approval_cluster.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_file_operations.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_file_tools.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_file_tools_cwd_resolution.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_local_env_blocklist.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_local_env_windows_msys.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_modal_sandbox_fixes.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_process_registry.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_session_search.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_skills_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_terminal_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_terminal_tool_requirements.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_tool_search.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tests/tools/test_toolsets.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/approval.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/browser_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/checkpoint_manager.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/clarify_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/close_terminal_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/code_execution_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/credential_files.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/environments/daytona.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/environments/file_sync.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/environments/local.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/environments/modal.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/environments/singularity.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/file_operations.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/file_tools.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/image_generation_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/lazy_deps.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/mcp_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/process_registry.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/read_terminal_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/registry.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/session_search_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/skill_manager_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/skills_guard.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/skills_hub.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/skills_sync.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/skills_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/terminal_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/tirith_security.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/todo_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/tool_search.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/tts_tool.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tools/vision_tools.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
toolsets.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tui_gateway/entry.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
tui_gateway/server.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
utils.py,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
uv.lock,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/docs/developer-guide/chronos-managed-cron-contract.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/docs/developer-guide/gateway-session-lifecycle.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/docs/reference/mcp-config-reference.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/docs/user-guide/features/tool-search.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/docs/user-guide/messaging/index.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
website/i18n/zh-Hans/docusaurus-plugin-content-docs/current/user-guide/messaging/index.md,UNRESOLVED,No side selected,"Compare original fork delta, upstream replacement and downstream callers; then behavioral regression"
